time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-16 00:00:00+00:00,1,1,0,0
2023-01-30 00:00:00+00:00,2,1,0,0
2023-02-08 00:00:00+00:00,1,1,5,1
2023-02-14 00:00:00+00:00,0,0,7,1
2023-02-17 00:00:00+00:00,2,1,0,0
