time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-04 00:00:00+00:00,5.0,4.0,5,3
2023-10-05 00:00:00+00:00,3.0,3.0,5,4
2023-10-06 00:00:00+00:00,10.0,4.0,2,2
2023-10-07 00:00:00+00:00,4.0,4.0,4,4
2023-10-08 00:00:00+00:00,3.0,3.0,3,3
2023-10-09 00:00:00+00:00,6.0,5.0,26,12
2023-10-10 00:00:00+00:00,3.0,3.0,11,7
2023-10-11 00:00:00+00:00,3.0,3.0,7,5
2023-10-12 00:00:00+00:00,16.0,4.0,12,4
2023-10-13 00:00:00+00:00,3.0,3.0,12,11
2023-10-14 00:00:00+00:00,8.0,4.0,14,6
2023-10-15 00:00:00+00:00,4.0,4.0,3,3
2023-10-16 00:00:00+00:00,5.0,5.0,16,10
2023-10-17 00:00:00+00:00,,,21,8
