time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-13 00:00:00+00:00,1.0,1.0,,
2023-01-14 00:00:00+00:00,2.0,2.0,4.0,3.0
2023-01-15 00:00:00+00:00,1.0,1.0,10.0,4.0
2023-01-16 00:00:00+00:00,3.0,3.0,4.0,4.0
2023-01-17 00:00:00+00:00,1.0,1.0,3.0,2.0
2023-01-18 00:00:00+00:00,1.0,1.0,2.0,2.0
2023-01-19 00:00:00+00:00,2.0,2.0,4.0,4.0
2023-01-20 00:00:00+00:00,1.0,1.0,3.0,2.0
2023-01-21 00:00:00+00:00,1.0,1.0,7.0,1.0
2023-01-22 00:00:00+00:00,1.0,1.0,,
2023-01-23 00:00:00+00:00,372.0,30.0,1.0,1.0
2023-01-24 00:00:00+00:00,40.0,31.0,,
2023-01-25 00:00:00+00:00,254.0,201.0,6.0,2.0
2023-01-26 00:00:00+00:00,165.0,127.0,1.0,1.0
2023-01-27 00:00:00+00:00,,,1.0,1.0
