time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-20 00:00:00+00:00,1,1,5,3
2022-10-21 00:00:00+00:00,3,3,6,5
2022-10-22 00:00:00+00:00,2,2,7,4
2022-10-23 00:00:00+00:00,2,2,5,3
2022-10-24 00:00:00+00:00,1,1,9,6
2022-10-25 00:00:00+00:00,3,3,8,6
2022-10-26 00:00:00+00:00,2,2,7,7
2022-10-27 00:00:00+00:00,2,2,5,3
2022-10-28 00:00:00+00:00,3,3,5,4
2022-10-29 00:00:00+00:00,2,2,7,5
2022-10-30 00:00:00+00:00,1,1,15,12
2022-10-31 00:00:00+00:00,1,1,10,8
2022-11-01 00:00:00+00:00,3,3,6,4
2022-11-02 00:00:00+00:00,1,1,11,6
