url_path,views_total,views_unique
/craciunoiuc/acs-homework-index,31,20
/craciunoiuc/acs-homework-index/blob/main/README.md,10,7
/craciunoiuc/acs-homework-index/commits,3,1
/craciunoiuc/acs-homework-index/network/dependencies,2,1
/craciunoiuc/acs-homework-index/commits/main,1,1
/craciunoiuc/acs-homework-index/community,1,1
/craciunoiuc/acs-homework-index/graphs/code-frequency,1,1
/craciunoiuc/acs-homework-index/graphs/commit-activity,1,1
/craciunoiuc/acs-homework-index/network,1,1
/craciunoiuc/acs-homework-index/network/dependents,1,1
