time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-05 00:00:00+00:00,6.0,3.0,7,3
2023-05-06 00:00:00+00:00,9.0,5.0,8,6
2023-05-07 00:00:00+00:00,5.0,4.0,3,3
2023-05-08 00:00:00+00:00,6.0,5.0,11,7
2023-05-09 00:00:00+00:00,7.0,4.0,3,3
2023-05-10 00:00:00+00:00,7.0,4.0,2,2
2023-05-11 00:00:00+00:00,5.0,4.0,7,5
2023-05-12 00:00:00+00:00,7.0,4.0,4,4
2023-05-13 00:00:00+00:00,8.0,5.0,6,3
2023-05-14 00:00:00+00:00,5.0,4.0,5,3
2023-05-15 00:00:00+00:00,9.0,6.0,6,5
2023-05-16 00:00:00+00:00,10.0,5.0,6,1
2023-05-17 00:00:00+00:00,3.0,3.0,5,5
2023-05-18 00:00:00+00:00,,,3,2
