time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-06 00:00:00+00:00,40,30,2.0,2.0
2023-02-07 00:00:00+00:00,35,29,2.0,2.0
2023-02-08 00:00:00+00:00,38,27,1.0,1.0
2023-02-09 00:00:00+00:00,38,29,1.0,1.0
2023-02-10 00:00:00+00:00,33,29,2.0,2.0
2023-02-11 00:00:00+00:00,33,29,1.0,1.0
2023-02-12 00:00:00+00:00,33,27,2.0,1.0
2023-02-13 00:00:00+00:00,35,29,1.0,1.0
2023-02-14 00:00:00+00:00,35,30,1.0,1.0
2023-02-15 00:00:00+00:00,44,28,,
2023-02-16 00:00:00+00:00,38,29,,
2023-02-17 00:00:00+00:00,31,29,1.0,1.0
2023-02-18 00:00:00+00:00,28,27,,
