time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-23 00:00:00+00:00,1,1,8,4
2022-11-24 00:00:00+00:00,2,2,4,4
2022-11-25 00:00:00+00:00,2,2,7,7
2022-11-26 00:00:00+00:00,1,1,4,2
2022-11-27 00:00:00+00:00,1,1,6,4
2022-11-28 00:00:00+00:00,2,2,4,3
2022-11-29 00:00:00+00:00,3,3,2,2
2022-11-30 00:00:00+00:00,2,2,2,1
2022-12-01 00:00:00+00:00,3,3,12,8
2022-12-02 00:00:00+00:00,3,3,7,6
2022-12-03 00:00:00+00:00,1,1,4,4
2022-12-04 00:00:00+00:00,1,1,7,5
2022-12-05 00:00:00+00:00,2,2,8,5
2022-12-06 00:00:00+00:00,2,1,8,6
