time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-31 00:00:00+00:00,41,28,8.0,4.0
2023-02-01 00:00:00+00:00,39,29,5.0,2.0
2023-02-02 00:00:00+00:00,41,29,1.0,1.0
2023-02-03 00:00:00+00:00,38,28,1.0,1.0
2023-02-04 00:00:00+00:00,34,29,,
2023-02-05 00:00:00+00:00,35,29,3.0,2.0
2023-02-06 00:00:00+00:00,40,30,2.0,2.0
2023-02-07 00:00:00+00:00,35,29,2.0,2.0
2023-02-08 00:00:00+00:00,38,27,1.0,1.0
2023-02-09 00:00:00+00:00,38,29,1.0,1.0
2023-02-10 00:00:00+00:00,33,29,2.0,2.0
2023-02-11 00:00:00+00:00,33,29,1.0,1.0
2023-02-12 00:00:00+00:00,33,27,2.0,1.0
2023-02-13 00:00:00+00:00,1,1,1.0,1.0
