time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-05 00:00:00+00:00,1.0,1.0,1,1
2022-10-06 00:00:00+00:00,2.0,2.0,4,2
2022-10-07 00:00:00+00:00,2.0,2.0,7,4
2022-10-08 00:00:00+00:00,2.0,2.0,1,1
2022-10-09 00:00:00+00:00,2.0,2.0,1,1
2022-10-10 00:00:00+00:00,2.0,2.0,5,4
2022-10-11 00:00:00+00:00,1.0,1.0,14,9
2022-10-12 00:00:00+00:00,2.0,2.0,12,8
2022-10-13 00:00:00+00:00,1.0,1.0,18,9
2022-10-14 00:00:00+00:00,3.0,3.0,5,4
2022-10-15 00:00:00+00:00,2.0,2.0,13,9
2022-10-16 00:00:00+00:00,2.0,2.0,1,1
2022-10-17 00:00:00+00:00,1.0,1.0,21,12
2022-10-18 00:00:00+00:00,,,7,6
