time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-02 00:00:00+00:00,5,5,,
2023-10-03 00:00:00+00:00,8,4,,
2023-10-04 00:00:00+00:00,5,4,5.0,3.0
2023-10-05 00:00:00+00:00,3,3,5.0,4.0
2023-10-06 00:00:00+00:00,10,4,2.0,2.0
2023-10-07 00:00:00+00:00,4,4,4.0,4.0
2023-10-08 00:00:00+00:00,3,3,3.0,3.0
2023-10-09 00:00:00+00:00,6,5,26.0,12.0
2023-10-10 00:00:00+00:00,3,3,11.0,7.0
2023-10-11 00:00:00+00:00,3,3,7.0,5.0
2023-10-12 00:00:00+00:00,16,4,12.0,4.0
2023-10-13 00:00:00+00:00,3,3,12.0,11.0
2023-10-14 00:00:00+00:00,8,4,14.0,6.0
2023-10-15 00:00:00+00:00,1,1,3.0,3.0
