time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-26 00:00:00+00:00,7,4,4.0,3.0
2023-05-27 00:00:00+00:00,7,4,5.0,2.0
2023-05-28 00:00:00+00:00,9,6,6.0,3.0
2023-05-29 00:00:00+00:00,9,6,1.0,1.0
2023-05-30 00:00:00+00:00,7,4,10.0,5.0
2023-05-31 00:00:00+00:00,7,4,2.0,1.0
2023-06-01 00:00:00+00:00,7,4,4.0,4.0
2023-06-02 00:00:00+00:00,7,4,1.0,1.0
2023-06-03 00:00:00+00:00,5,4,1.0,1.0
2023-06-04 00:00:00+00:00,7,4,2.0,2.0
2023-06-05 00:00:00+00:00,8,5,,
2023-06-06 00:00:00+00:00,7,4,6.0,3.0
2023-06-07 00:00:00+00:00,5,4,,
