time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-09 00:00:00+00:00,5,4,,
2023-06-10 00:00:00+00:00,5,4,2.0,2.0
2023-06-11 00:00:00+00:00,5,4,3.0,3.0
2023-06-12 00:00:00+00:00,8,5,12.0,4.0
2023-06-13 00:00:00+00:00,7,4,11.0,5.0
2023-06-14 00:00:00+00:00,7,4,2.0,2.0
2023-06-15 00:00:00+00:00,7,4,5.0,5.0
2023-06-16 00:00:00+00:00,5,4,,
2023-06-17 00:00:00+00:00,5,4,1.0,1.0
2023-06-18 00:00:00+00:00,5,4,,
2023-06-19 00:00:00+00:00,8,5,1.0,1.0
2023-06-20 00:00:00+00:00,7,4,2.0,2.0
2023-06-21 00:00:00+00:00,9,5,1.0,1.0
