time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-30 00:00:00+00:00,43.0,30.0,,
2023-01-31 00:00:00+00:00,41.0,28.0,8.0,4.0
2023-02-01 00:00:00+00:00,39.0,29.0,5.0,2.0
2023-02-02 00:00:00+00:00,41.0,29.0,1.0,1.0
2023-02-03 00:00:00+00:00,38.0,28.0,1.0,1.0
2023-02-04 00:00:00+00:00,34.0,29.0,,
2023-02-05 00:00:00+00:00,35.0,29.0,3.0,2.0
2023-02-06 00:00:00+00:00,40.0,30.0,2.0,2.0
2023-02-07 00:00:00+00:00,35.0,29.0,2.0,2.0
2023-02-08 00:00:00+00:00,38.0,27.0,1.0,1.0
2023-02-09 00:00:00+00:00,38.0,29.0,1.0,1.0
2023-02-10 00:00:00+00:00,33.0,29.0,2.0,2.0
2023-02-11 00:00:00+00:00,33.0,29.0,1.0,1.0
2023-02-12 00:00:00+00:00,,,2.0,1.0
