time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-03 00:00:00+00:00,2,2,,
2022-11-04 00:00:00+00:00,1,1,12.0,5.0
2022-11-05 00:00:00+00:00,1,1,15.0,11.0
2022-11-06 00:00:00+00:00,1,1,1.0,1.0
2022-11-07 00:00:00+00:00,4,4,11.0,6.0
2022-11-08 00:00:00+00:00,2,2,10.0,6.0
2022-11-09 00:00:00+00:00,5,5,8.0,5.0
2022-11-10 00:00:00+00:00,2,2,1.0,1.0
2022-11-11 00:00:00+00:00,1,1,10.0,7.0
2022-11-12 00:00:00+00:00,3,3,10.0,8.0
2022-11-13 00:00:00+00:00,2,2,13.0,6.0
2022-11-14 00:00:00+00:00,2,2,7.0,4.0
2022-11-15 00:00:00+00:00,2,2,9.0,6.0
2022-11-16 00:00:00+00:00,1,1,10.0,7.0
